Name,City,Salary_From,Salary_To,Currency,Experience,Employment_Type,Role
заместитель директора по продажам,астана,500000.0,1500000.0,KZT,от 3 до 6 лет,полная занятость,руководитель отдела продаж
главный менеджер департамента стратегии и корпоративного планирования,астана,750000.0,,KZT,от 3 до 6 лет,полная занятость,бизнес-аналитик
руководитель отдела кадровой политики,астана,1000000.0,,KZT,более 6 лет,полная занятость,специалист по кадрам
администратор,астана,400000.0,,KZT,от 1 года до 3 лет,полная занятость,администратор
арт-менеджер / event & entertainment manager,астана,600000.0,600000.0,KZT,более 6 лет,полная занятость,event-менеджер
повар (деми повар) горячего цеха в международный отель,астана,,320000.0,KZT,от 3 до 6 лет,полная занятость,"повар, пекарь, кондитер"
ночной аудитор (night auditor / аудитор по расчетам с гостями),астана,,350000.0,KZT,от 1 года до 3 лет,полная занятость,аудитор
смм - тик ток менеджер,астана,100000.0,300000.0,KZT,нет опыта,полная занятость,"smm-менеджер, контент-менеджер"
педагог-психолог,астана,290000.0,320000.0,KZT,от 1 года до 3 лет,полная занятость,психолог
программист-разработчик,астана,800000.0,1000000.0,KZT,от 3 до 6 лет,полная занятость,"программист, разработчик"
кадровик-делопроизводитель,астана,350000.0,380000.0,KZT,от 1 года до 3 лет,полная занятость,специалист по кадрам
devops engineer,астана,1500.0,2500.0,KGS,от 1 года до 3 лет,полная занятость,devops-инженер
senior project manager,астана,1500.0,3000.0,USD,более 6 лет,полная занятость,руководитель проектов
менеджер по продажам в beauty-компанию,астана,300000.0,1000000.0,KZT,от 1 года до 3 лет,полная занятость,"менеджер по продажам, менеджер по работе с клиентами"
менеджер по контролю и мониторингу строительных проектов,астана,600000.0,,KZT,от 3 до 6 лет,полная занятость,"инженер пто, инженер-сметчик"
junior разработчик 1с,астана,200000.0,350000.0,KZT,нет опыта,полная занятость,другое
менеджер по продажам в онлайн школу,астана,500000.0,800000.0,KZT,от 3 до 6 лет,полная занятость,"менеджер по продажам, менеджер по работе с клиентами"
маркетолог,астана,500000.0,500000.0,KZT,от 1 года до 3 лет,полная занятость,"менеджер по маркетингу, интернет-маркетолог"
аналитик данных,астана,800000.0,800000.0,KZT,от 1 года до 3 лет,полная занятость,другое
бизнес-аналитик,астана,600000.0,,KZT,от 1 года до 3 лет,полная занятость,бизнес-аналитик
hr специалист,астана,450000.0,450000.0,KZT,нет опыта,полная занятость,менеджер по персоналу
"маркетолог, контент-маркетолог в бренд женской одежды",астана,600000.0,1000000.0,KZT,от 1 года до 3 лет,полная занятость,"менеджер по маркетингу, интернет-маркетолог"
менеджер по бронированию авиабилетов,астана,300000.0,,KZT,от 1 года до 3 лет,полная занятость,менеджер по туризму
hr менеджер,астана,350000.0,400000.0,KZT,от 1 года до 3 лет,полная занятость,специалист по подбору персонала
smm-менеджер / мобилограф (быть в г.астана),астана,200000.0,350000.0,KZT,от 1 года до 3 лет,частичная занятость,"smm-менеджер, контент-менеджер"
менеджер по спортивной работе,астана,401000.0,,KZT,от 1 года до 3 лет,полная занятость,другое
java-разработчик (стажер),астана,50000.0,50000.0,KZT,нет опыта,частичная занятость,"программист, разработчик"
